arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
gnn_complete,gnn_qmix,complete,pair,core,ego,10,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed0,83.74166666666666
gnn_complete,gnn_qmix,complete,pair,core,ego,10,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed1,81.61875
gnn_complete,gnn_qmix,complete,pair,core,ego,10,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed2,83.87708333333333
gnn_complete,gnn_qmix,complete,pair,core,ego,10,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed3,85.46666666666667
gnn_complete,gnn_qmix,complete,pair,core,ego,10,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed4,82.9625
gnn_complete,gnn_qmix,complete,pair,core,ego,10,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed5,83.76875
gnn_complete,gnn_qmix,complete,pair,core,ego,10,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed6,82.4125
gnn_complete,gnn_qmix,complete,pair,core,ego,10,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed7,84.21875
gnn_complete,gnn_qmix,complete,pair,core,ego,10,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed8,82.13541666666667
gnn_complete,gnn_qmix,complete,pair,core,ego,10,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N10_ego\gnn_complete__pair_N10_ego__seed9,85.13333333333334
